author_id,alternative_name_seq,alternative_name
5005697961,1,Orimário Lúcio Rodrigues
5037517886,1,浅井良倫
5031637478,12,B. B. L. Agarwal
5003332241,1,Avedyan Lyudmila J.
5006797222,1,Erik Pérez Martínez
5079000260,1,Marco Sergio
5083797265,1,Claudia V. Sánchez‐Marin
5067820666,1,Кравцова Ксения Александровна
5074189865,1,Danielle Hoover
5082033182,1,Unan Santosa
5076170113,1,浩司 海老
5034928341,1,Cintia Cavilla
5074416929,1,Hiroyasu Ikimi
5068292241,1,Alexandra Sartorio
5089722524,1,隆文 家郷
5084885187,2,Akbar Chettali
5044009942,1,FV Pericole
5029670524,1,Escalada San Martín J
5059414418,1,Alicja Burzec
5065331096,1,Ekaterina A. Korobkova
5026909545,1,Diana Patrícia Zethelius Watson
5011977579,1,Jae Sik Yoon
5100450241,1,Jun Chen
5054046935,1,丁韧
5052799079,1,Celeste Gloria Esparza
5012205564,1,Rizqi Herfiyanti
5046331679,2,H. R. Weiss
5045120455,1,William L Chen
5010901329,1,Vuelor Patou
5032238454,4,James W. McAuley
5040829453,1,Edward Silk
5015538004,2,Yu‐chun Zhu
5029070765,1,Hong We
5019940201,1,邓艳平
5032367508,1,Mark Keese
5031561256,2,M.L. Labal de Vinuesa
5001846890,1,F Maggio
5024151484,1,S Raman
5028178668,1,Lenka Polánková
5061846265,1,Remigiusz Lewandowski
5062005709,1,Ethel Romig Fuller
5029397475,2,Annia D. Gorte Quiñones
5042376989,1,Е.А. Елизарова
