work_id,keyword_seq,keyword_id,score
2152966241,2,28147,0.83641016
3170688147,1,15301,0.443502
1974600013,1,49768,0.9920983
2028033938,3,68076,0.504628
4295197116,2,48319,0.492443
4313260769,2,8809,0.7628287
2056811348,5,13645,0.44128242
299028517,6,47694,0.560763
4254441778,7,34395,0.52487
1751833217,1,16339,0.493102
2323846884,5,70214,0.524162
4242180555,4,32420,0.522371
2019066425,4,51696,0.505929
179013799,1,72122,0.541898
2033193283,1,27091,0.59302914
2036973961,2,23768,0.519041
2335610197,1,2887,0.7407046
2056095403,4,52863,0.512597
1502262107,3,18752,0.41545737
68950267,3,12085,0.51122355
4220777839,5,14783,0.41271436
2901765219,3,66005,0.54910725
2017230994,5,15091,0.576199
2278140697,1,39854,0.495009
2913497893,3,55335,0.62503207
