author_id,author,orcid,openalex_id,scopus_id,wikipedia_url,updated_date,created_date
5075352570,Ana Jakob,0000-0001-7599-9398,A5075352570,,,2024-08-18,2023-07-21
5104433816,Alan Gallay,,A5104433816,,,2024-07-23,2024-07-14
5069576558,Pavida Ratakam,,A5069576558,,,2024-08-22,2023-07-21
5046667152,Niels Dijkman,,A5046667152,,,2024-08-25,2023-07-21
5045801800,潤三 関根,,A5045801800,,,2024-05-11,2023-07-21
5084760959,Xavier Orlando,,A5084760959,,,2024-06-08,2023-07-21
5051243824,Sulieman Bani‐Ahmad,0000-0003-4064-9405,A5051243824,23395732000.0,,2024-08-21,2023-07-21
5070827089,Edward E Johnson,,A5070827089,,,2024-08-21,2023-07-21
5073814283,Valdez Alberto Hernandez,,A5073814283,,,2024-05-08,2023-07-21
5059721461,Navin Vishwakarma,,A5059721461,,,2024-06-10,2023-07-21
5083898443,Linda Kartika Sari,,A5083898443,,,2024-08-19,2023-07-21
5098858373,河東 鈴春,,A5098858373,,,2024-06-07,2024-05-27
5052355683,VITO QUARANTA,,A5052355683,,,2024-05-12,2023-07-21
5025740237,Dadaboyevaa Umida Anvarjonona,,A5025740237,,,2024-06-10,2023-07-21
5060132592,Randy Hutama Putra,,A5060132592,,,2024-06-11,2023-07-21
5043016634,Jailson dos Santos Silva,,A5043016634,,,2024-06-07,2023-07-21
5032080516,John D. Ferry,,A5032080516,,,2024-08-23,2023-07-21
5092684594,ประภาส เนรมิตมานสุข,,A5092684594,,,2024-05-08,2023-09-07
5105046525,L Lagor,,A5105046525,,,2024-08-04,2024-07-26
5020526220,Shibata Shigehiro,,A5020526220,,,2024-06-10,2023-07-21
5050068186,Friedrich Georg Weyer,,A5050068186,,,2024-06-08,2023-07-21
5006643478,Jung Sang Min,,A5006643478,,,2024-08-22,2023-07-21
5015044351,Ulwan Syafrudin,,A5015044351,,,2024-08-26,2023-07-21
5022243346,Samantha Hol,,A5022243346,,,2024-08-26,2023-07-21
5068654533,Shugetsu TAKATA,,A5068654533,,,2024-06-22,2023-07-21
5103095917,Mohammed A. Siddiqui,0009-0002-3665-800X,A5103095917,,,2024-08-08,2024-07-12
5077972902,Harriet Sherborne,,A5077972902,,,2024-06-10,2023-07-21
5094488872,W Van Duin,,A5094488872,,,2024-06-06,2024-04-05
5046054365,H.W. Mauser,,A5046054365,,,2024-06-12,2023-07-21
5091955458,Suus-Anna Harskamp,,A5091955458,,,2024-06-13,2023-09-07
5105094928,Susan Lock,,A5105094928,,,2024-08-04,2024-07-27
5048454634,E. Naef,,A5048454634,,,2024-08-17,2023-07-21
5101477958,Jiangang Ma,0000-0002-8449-7610,A5101477958,,,2024-08-23,2024-07-12
5064245287,Sumiyati Sumiyati,0000-0003-2805-1873,A5064245287,,,2024-08-21,2023-07-21
5032827251,W Zischka,,A5032827251,,,2024-08-11,2023-07-21
5069088406,M P Snoep,,A5069088406,,,2024-06-13,2023-07-21
5066503434,Fang Guo-kun,,A5066503434,,,2024-08-20,2023-07-21
5011547050,S Riva,,A5011547050,,,2024-08-17,2023-07-21
5072561025,Eileen Curteis,,A5072561025,,,2024-06-05,2023-07-21
