concept_id,umls_aui_seq,umls_aui
2909814698,6,A7850134
2909217659,3,A0130452
2908917876,7,A28255167
2909425564,6,A23064273
2909217659,11,A3865282
2910833928,1,A24829866
2910760841,2,A18660076
2910930448,9,A25692398
2910532367,11,A18023559
2910733768,3,A1305535
2909637497,14,A8352427
2908727407,3,A18803851
2910388607,6,A23862263
2910119661,4,A0445148
2908844906,1,A0086489
2910191037,3,A17992299
2909731932,2,A0113997
2908933131,10,A18648452
2909371710,1,A2107043
2910018961,12,A24682831
2911203908,8,A2962628
2909423643,9,A17957313
2908892503,6,A24371589
2911125582,1,A0052209
2910722887,1,A0019545
2909888880,1,A0768130
2908583973,9,A2927722
2909453981,1,A1117185
2909478873,5,A1393721
2909134871,7,A24387414
2911204043,3,A15385220
2908793669,5,A0696457
2909243696,2,A10769458
2909951594,13,A4709366
2908901865,10,A18660184
2909112397,12,A0485331
2909212020,4,A23953713
2909030593,9,A2874284
2910052209,3,A27392673
2910202354,6,A4342977
2909592510,7,A27379031
2908903051,1,A0039856
2910234489,7,A2973740
2910427207,1,A23867892
2910147798,2,A0776735
2910710802,4,A18615587
2910858981,4,A23871112
2911209605,3,A0444904
2910054578,2,A18699178
2910826258,13,A26612153
2910125345,5,A7572585
2909257975,3,A0784552
2909270721,5,A10801652
2908856526,4,A7665239
2910364697,5,A3127903
2909607560,3,A25741746
2909088125,1,A18245609
2910741058,2,A18650529
2908682922,3,A3638922
2910170020,3,A18628144
2908628106,9,A22999760
2910020066,15,A18628827
2909458119,2,A18463690
2910087749,2,A0891295
2909924247,4,A18686970
2910863401,2,A17950464
2908736133,12,A2935362
2909243696,14,A18641831
2909915070,5,A11770575
2909950174,1,A0003622
2910951933,1,A0423005
2910671496,1,A0066595
2910142988,2,A0395844
2909474611,1,A0033133
2909112448,2,A17903523
2909717120,3,A17991198
2911064607,6,A18682372
2908696374,7,A8360198
2910036229,2,A27799783
2909892930,2,A17926776
2909086633,7,A3025120
2909482567,2,A18207004
2910380747,5,A26636408
2909723608,2,A18362057
2909377838,9,A16973828
2910715184,13,A2889278
2909274023,5,A13735969
2909310872,3,A26630507
2909063110,5,A23837933
2910348288,19,A25684254
2909806198,2,A0417128
2908879798,1,A0032857
2910508445,3,A0394928
2909813250,12,A25702158
2911125582,14,A26715954
2909813644,2,A9338184
2910551608,2,A0109288
2909805974,8,A3129170
2909778679,7,A25737609
2911210598,3,A0450092
2909913674,3,A0003513
2909062048,2,A1309404
2909151182,1,A0776430
2910850605,3,A25719568
2910604615,1,A1412336
2911192292,18,A11574914
2909079918,11,A27161207
2910834742,4,A18575634
2908856696,4,A25734530
2910812759,14,A2938515
2909957684,3,A3044321
2909511254,2,A8395923
2910208175,3,A16985106
2908821069,2,A2031739
2909275681,1,A0243710
2909178817,2,A0432166
2909529769,3,A22825089
2910883780,1,A0479435
2910168157,14,A0476178
2909768578,8,A13650772
2909351178,5,A18439602
2911222091,18,A3044941
2911115442,10,A17853622
2909962264,4,A21033968
2910288237,20,A8481667
2910568114,1,A23522159
2909072198,3,A23894223
2908993608,4,A15316967
2910134782,5,A3230379
2909954419,3,A20021164
2908724844,4,A0455670
2911091303,2,A15286637
2909194334,1,A0801241
2909480419,7,A23910355
2910381875,6,A25714705
2908885563,10,A17906710
2910616045,4,A25724672
2911125582,4,A1188496
2910479173,9,A22911896
2910167010,2,A0805494
2908704050,15,A20833713
2910939485,1,A0075219
2908861226,15,A24665281
2909726219,18,A23961347
2908814187,1,A18003649
2910396414,11,A8436275
2909196371,5,A18639251
2911002212,3,A3011712
2910727860,3,A23921497
2911096038,9,A20053359
2909048046,17,A23882156
2909039839,13,A4466101
2910824017,5,A23881195
2911124769,3,A22674819
2910079294,16,A9332773
2910703768,2,A1390681
2909100678,5,A18685710
2909829705,10,A17931976
2911018730,3,A26602996
2909068217,3,A3062801
2910160540,3,A0010448
2910128205,4,A19654883
2910005497,8,A24839684
2910492973,3,A17997245
2908589492,3,A18066474
2910557164,4,A25737449
2910595225,2,A0989373
2909885224,1,A0410176
2908541216,2,A0433497
2909420918,3,A22728789
2909050876,2,A1302037
2909788366,11,A2310722
2909655054,2,A20238364
2910976051,22,A8256540
2910587469,4,A3055197
2910609880,16,A26602449
2910380747,6,A2872061
2911222091,11,A17954173
2909725152,1,A23164325
2910738562,10,A22848085
2910130992,6,A22807483
2911033702,2,A24381298
2910186565,2,A18593604
2909524538,5,A0417274
2910018596,5,A10815737
2910215949,6,A1306242
2911140283,6,A17884478
2910174135,9,A6995510
2908698914,14,A24824493
2910204272,1,A0038722
2910755090,2,A18573126
2911222091,2,A0600179
2910806137,2,A19090004
2908940075,3,A26607563
2910976051,15,A23064142
2910930448,11,A8352274
2908979412,1,A0069052
2909991657,1,A0433031
2910399511,11,A26649652
2910196583,3,A0392425
2908643374,4,A17917915
2909683868,3,A23869482
2910018961,1,A0649291
2909806565,2,A0578102
2909556870,7,A0784474
2909076957,3,A26636736
2910344980,9,A4816395
2908834131,15,A18590744
2908636690,3,A12808915
2909011554,2,A22786516
2909461408,2,A12099703
2910393698,12,A17925372
2908868296,6,A27779076
2908805171,3,A1623094
2909500757,4,A11574960
2910094404,2,A28306455
2909440837,15,A2951887
2910894616,2,A1203490
2909801024,2,A28387484
2910696605,2,A15380927
2908589346,10,A2946143
2908715897,1,A0107501
2910790537,1,A18895583
2910910011,2,A26672590
2909104349,5,A18579154
2908923111,3,A10768796
2909750939,12,A22895919
2910881488,1,A18611561
2909726219,22,A7758404
2909916031,4,A12803485
2911204043,4,A3151991
2909485332,5,A10336579
2909905686,10,A22967779
2910731194,1,A0043660
2909403385,4,A11634877
2909835963,2,A18045768
2910014776,4,A0550414
2910362683,5,A24583055
2910734704,6,A2884732
2910262544,3,A0545295
2910302589,10,A2889906
2910668435,10,A18542265
2909638485,5,A0108991
2909548125,3,A1385598
2908854999,1,A10907037
2909480419,3,A15388330
2910162304,1,A15459591
2909638485,4,A0108990
2908544876,1,A0093757
2909382536,3,A18574295
2908520674,8,A18017776
2910574371,21,A24665797
2908865982,1,A18582482
2910125345,2,A1234394
2908947950,2,A18595804
2910736867,1,A0054965
2910634771,2,A26715919
2909459036,3,A17015787
2911077047,14,A18037590
2910997768,18,A4387117
2910112519,2,A1395439
2909827854,11,A27060488
2909962264,2,A12806843
2909576783,16,A25712241
2909680690,9,A12058240
2911118192,4,A25718503
2910479173,16,A4765247
2908933175,5,A18329271
2909782663,4,A23866224
2909956880,11,A9333769
2910482912,3,A17975326
2908795567,8,A24678436
2910530303,15,A8354167
2909242623,4,A6957759
2910059622,5,A7750931
2910759140,14,A18612324
2908890008,2,A18433094
2911002200,17,A27334846
2909601034,1,A24103279
2908692415,5,A17943547
2910968140,3,A7653464
2909754754,5,A18560658
2910703768,3,A18648505
2908626413,3,A13431957
2910742204,8,A17777679
2910029113,4,A0385691
2909922595,2,A0950538
2909912800,1,A0018456
2909274023,9,A16794306
2908938912,1,A10795555
2908539361,6,A0392992
2909763950,2,A18651240
2909341243,3,A26947256
2910568048,6,A3287915
2908790754,1,A11597542
2910881488,4,A3318621
2908622527,5,A0461034
2909593344,6,A26465938
2909406889,1,A0476671
2909128814,1,A0025289
2910962261,3,A6982717
2911059045,3,A17990682
2910460592,8,A2879647
2910730351,4,A18636439
2909688399,3,A3317725
2909829705,14,A19361627
2908933175,7,A23486063
2909705833,1,A20913111
2910159267,2,A19033201
2908973413,4,A7665230
2909581452,3,A0064248
2910458242,1,A2137395
2908714237,2,A0103521
2910046258,12,A18717728
2910077887,1,A16767598
2908554679,1,A0364300
2909055331,2,A15568719
2909638373,6,A7880767
2909145594,3,A7667734
2909917878,4,A18691824
2910000593,2,A10988737
2910828019,2,A7608919
2909065260,10,A8282088
2910492473,3,A12059169
2910646857,22,A27187511
2910198813,3,A10338283
2909556870,6,A0451111
2910515064,4,A0779607
2910703768,6,A9332038
2909593344,5,A25697879
2909485332,15,A20053869
2910396726,1,A0247891
2908933376,11,A23024229
2909762588,3,A17927466
2909528911,8,A23870213
2910949272,1,A2140137
2909423643,15,A23551312
2909801294,5,A21144490
2911126609,2,A0818476
2910491948,16,A28924429
2909657761,6,A24675414
2909890400,7,A4345554
2909332496,2,A18675664
2909081578,1,A1387762
2910329180,5,A16989144
2909708105,2,A18583462
2909370928,3,A6839269
2909255381,17,A26663773
2909059315,3,A0056439
2910762390,1,A0289407
2910962159,8,A18699475
2911049907,9,A21143590
2909552056,2,A18581101
2910384157,4,A2880590
2908551600,2,A0415123
2910820727,6,A23038509
2909029650,16,A8339863
2909539053,1,A26672148
2909325608,8,A23938566
2909668398,4,A2921654
2908857472,2,A1390737
2908627140,3,A3317622
2908937092,12,A23952853
2909396630,3,A22920781
2910480946,1,A0387050
2908786790,1,A11953173
2910362683,2,A12058525
2910646857,13,A18667968
2909548125,1,A0032904
2909347786,2,A18971307
2910949778,8,A7651676
2910624479,1,A0132553
2909734928,2,A1998537
2908728446,1,A0685413
2910422012,4,A17683483
2910735644,1,A0564620
2909295384,1,A17803245
2909409151,3,A24831565
2909745897,1,A24675670
2909886172,4,A26636975
2910065304,3,A23064113
2910217193,1,A18642325
2908848679,4,A3148340
2909611442,1,A0429061
