work_id,mesh_seq,mesh_descriptor_ui,mesh_qualifier_ui,is_major_topic
2008795561,5,D007830,,0
2319009325,3,D000860,Q000401,1
2404931434,20,D008558,,0
4387765749,2,D011297,,1
2013317828,8,D006360,,0
1563176955,21,D007527,,0
2004747843,28,D020800,Q000032,0
67162973,2,D012017,,1
2077322957,12,D001120,,0
2585542702,16,D005260,,0
307476632,8,D001783,Q000187,0
2078807102,17,D008207,,0
2083541807,2,D009735,,1
1993059259,12,D001743,,0
2046316519,3,D021621,Q000379,1
2233506624,17,D009474,,0
2003717081,16,D018492,Q000494,0
2977701070,16,D014796,,0
1550852127,12,D015497,,0
2131115067,9,D002460,,0
2036208378,21,D019253,,0
3007398425,18,D002687,,0
2167398464,17,D008297,,0
2089935447,7,D017668,,0
2169322438,10,D005260,,0
2163695784,7,D002968,,0
1992584632,6,D015415,,0
2063533408,7,D001011,Q000000981,0
3200377037,15,D013552,,0
2024044350,3,D008070,Q000494,1
2413268600,7,D003326,,0
2017222968,23,D008969,,0
2706152656,7,D008297,,0
2060954198,3,D019409,Q000276,1
1989493422,5,D049329,Q000737,1
2061179559,14,D012333,Q000378,0
2013271040,7,D001931,,0
2158066978,6,D004305,,0
2889627663,13,D008928,,0
2116287860,9,D006801,,0
2077759081,17,D007529,Q000737,0
2402757370,12,D004847,,0
2010154622,4,D004730,,0
2418472062,7,D016867,,0
2734992935,16,D018384,,0
2400041383,9,D011446,,0
2027461774,7,D003866,Q000628,0
4210440576,6,D000470,,0
2247894650,4,D013945,Q000188,1
2032913662,17,D010539,,0
2405924106,8,D006801,,0
3001312921,14,D009369,Q000473,0
3135169738,5,D010684,,0
2002942800,23,D012189,,0
2439146284,1,D002371,Q000473,1
1996674422,4,D016099,Q000379,0
2417822435,3,D000328,,0
2048366066,5,D017280,Q000706,0
2417584384,17,D015004,Q000517,0
2792587346,17,D006801,,0
4292552157,21,D008928,Q000378,0
2996102910,18,D015470,,0
2467592126,2,D006054,Q000502,1
2039660646,11,D004032,,0
2112961110,24,D010084,Q000528,0
2071119507,3,D011480,Q000494,1
4385611989,22,D003697,,0
2185533467,4,D006801,,0
2603684637,10,D019139,Q000276,0
2007857548,3,D015658,Q000235,1
2388945446,19,D013536,,0
1997727571,22,D008810,,0
173701646,1,D007527,Q000378,1
2414890770,1,D000395,Q000032,1
4238795632,11,D007166,,0
2116826656,20,D011041,Q000628,0
2514072306,3,D015316,,1
2131227101,9,D006335,Q000175,0
2149050611,15,D010121,,0
4238960043,1,D003134,Q000331,1
2405557295,12,D003672,,0
1986132642,14,D007074,Q000032,0
2084397540,10,D011446,,0
2045203645,3,D000818,,0
4211248544,13,D038781,,0
2794547780,7,D000595,,0
1987682804,6,D003371,Q000188,0
2075796929,19,D019332,,0
1829554982,3,D000818,,0
2014524660,39,D011993,Q000502,0
4391445104,18,D016896,,0
3111294396,9,D001842,Q000000981,0
2057885453,18,D013210,,0
2043400746,9,D000230,,0
2025066952,3,D018009,Q000502,1
2594819047,17,D063886,Q000706,0
4298062457,7,D005203,Q000453,0
2014705659,4,D001307,,0
2066239765,18,D011919,,0
2148996916,1,D002645,Q000235,1
2588218875,1,D008076,Q000097,1
2012489837,26,D006801,,0
2804476733,23,D012270,Q000235,0
2081282780,5,D005260,,0
2012626049,5,D000368,,0
2495081125,11,D019389,,0
2011963107,2,D006499,Q000002,1
1970386443,12,D018139,,0
2107626763,17,D013119,Q000534,0
2149069899,1,D035264,Q000382,1
2811213862,9,D005163,,0
2044744680,33,D014794,,0
3039594853,3,D006282,,0
2911898481,33,D006435,Q000009,0
1991050630,7,D001300,,0
1999721747,31,D009830,Q000187,0
2115250115,30,D009197,,0
1992063238,4,D000595,,0
1972437107,18,D013379,,0
2432865931,1,D034462,,1
2177768370,7,D000533,,0
2129605132,21,D006632,,0
179453477,11,D007019,,0
2404974119,10,D005260,,0
2573873216,5,D039781,,0
2412225082,34,D015427,Q000150,0
2410332978,14,D010600,,0
3002566546,28,D000073818,Q000175,0
1884433304,12,D008297,,0
2098322028,5,D000818,,0
2089049280,9,D001665,,0
2018639366,2,D000410,Q000097,0
1992214296,24,D010661,Q000097,0
1964045460,6,D003574,,0
1984462661,2,D010996,Q000201,1
2981899766,23,D015497,Q000276,0
2135222542,23,D025801,,0
2003286878,11,D003928,Q000378,0
2165093821,6,D000818,,0
2161856114,12,D007074,,0
2410372289,2,D001859,Q000175,1
1972085102,19,D010641,,0
1893672874,8,D004366,,0
2078633974,5,D000328,,0
1998530321,15,D011088,Q000172,0
2177414566,8,D004390,,0
2427534969,11,D008969,,0
2095038944,7,D008297,,0
2400749936,12,D008283,,0
2097859017,22,D014744,,0
1969500718,18,D011092,Q000378,0
3035738892,9,D006801,,0
2016138440,13,D003430,,0
2296595209,12,D006956,,0
2105759680,7,D001392,,0
2071107953,11,D011581,,0
1968131731,12,D005260,,0
2357766005,14,D009169,,0
4290412718,3,D003479,,0
2045588732,18,D018980,,0
2007628454,2,D001921,Q000473,1
2333009381,1,D005462,Q000737,1
2415340805,2,D008264,Q000502,1
2085884707,10,D008029,,0
2027778030,19,D013601,Q000276,0
2466367037,15,D010996,,0
1967993983,5,D003560,Q000601,1
2402038576,7,D012769,,1
2463361572,11,D007811,,0
2673943230,2,D014005,,1
3139580114,2,D006810,,1
2412913724,6,D008297,,0
41014178,1,D010809,,1
2042210101,10,D017966,Q000166,0
108765918,20,D008598,,0
2406271922,5,D000208,,0
1988783070,1,D006292,,1
2413802195,5,D000818,,0
2273881829,11,D005071,,0
1989589064,12,D013045,,0
2287699568,12,D032901,Q000648,0
2332193240,14,D008297,,0
3184027001,7,D006801,,0
2170747751,11,D004359,,0
2009232987,11,D018716,,0
1516330662,13,D001932,Q000556,0
2942887906,12,D048988,,0
2045558407,8,D008875,,0
2984321695,3,D057240,,1
4383215443,6,D011379,,0
2158829538,6,D003247,Q000379,0
2304575090,9,D005265,,0
2089090834,22,D014693,Q000503,0
2324772248,4,D017448,Q000235,1
1974512256,1,D007334,Q000502,1
2079470039,10,D020407,,0
4296368385,7,D061525,Q000601,0
2942287699,11,D005260,,0
2026355082,20,D016896,,0
2054038263,10,D002478,,0
2059105296,4,D001921,Q000000981,0
4246735253,1,D003485,Q000009,1
