institution_id,funder_seq,funder_id
4210111400,1,4320321893
63966007,1,4320309369
4210122617,1,4320320265
4210107380,1,4320323983
4210123660,1,4320314112
26437253,1,4320321975
4210104174,1,4320321996
4210091268,1,4320312660
4210092620,1,4320324058
4362561690,36,4320310388
4210110670,2,4320324582
4210101497,1,4320311793
4210092503,1,4320307997
12912129,1,4320315682
180857899,1,4320307765
4210148045,1,4320321885
1335991649,1,4320308076
4210096353,1,4320323414
4210138353,2,4320323666
2801914806,1,4320329069
2801706311,1,4320308409
2803022237,1,4320319318
142651801,1,4320327158
4210122848,1,4320326500
1304378839,1,4320313521
4210112821,1,4320311806
50754188,2,4320321441
149735164,1,4320324857
4210127999,1,4320307610
4210164490,1,4320315816
4210121698,1,4320323797
2801941904,1,4320329561
2799557411,1,4320322777
4210146847,1,4320308616
2800140081,1,4320309003
